AppID,Name,Release date,Peak CCU,Price,Positive,Negative,Average playtime forever
990080,Hogwarts Legacy,2023-02-10,872138,59.99,33521,2000,661
1326470,Sons Of The Forest,2023-02-23,405191,29.99,31006,5954,312
2050650,Resident Evil 4,2023-03-23,153726,59.99,21231,723,365
1448440,Wo Long: Fallen Dynasty,2023-03-03,59368,59.99,4367,7101,434
1774580,STAR WARS Jedi: Survivor™,2023-04-27,54868,69.99,4536,4652,456
1948980,Hero's Adventure,2023-03-07,28699,15.83,2058,462,609
1677280,Company of Heroes 3,2023-02-23,28658,59.99,3171,2152,292
1693980,Dead Space,2023-01-27,28122,59.99,4478,643,339
1938010,WILD HEARTS™,2023-02-16,28008,69.99,1872,2645,479
668580,Atomic Heart,2023-02-20,24362,59.99,8955,1289,348
1888930,The Last of Us™ Part I,2023-03-28,17498,59.99,9067,12035,592
1971650,OCTOPATH TRAVELER II,2023-02-24,14953,59.99,426,29,138
1669980,Volcano Princess,2023-04-20,14166,9.34,1726,25,139
768200,Smalland: Survive the Wilds,2023-03-29,11894,22.49,1177,248,199
954850,Kerbal Space Program 2,2023-02-24,11386,49.99,3287,3329,234
1331550,Big Ambitions,2023-03-10,10880,20.69,565,25,462
1562430,DREDGE,2023-03-30,10464,24.99,1896,84,182
2231380,Tom Clancy's Ghost Recon® Breakpoint,2023-01-23,9048,12,864,824,281
2221490,Tom Clancy’s The Division® 2,2023-01-12,9026,9,528,414,29
756800,Contraband Police,2023-03-08,7855,17.59,1462,92,175
1805480,Like a Dragon: Ishin!,2023-02-21,7820,59.99,1090,201,238
814000,ONE PIECE ODYSSEY,2023-01-12,7167,59.99,658,111,160
1680880,Forspoken,2023-01-24,6648,69.99,1820,1576,301
1649240,Returnal™,2023-02-15,6444,59.99,1516,360,573
1942660,WWE 2K23,2023-03-16,5885,59.99,410,78,468
1351080,Pharaoh: A New Era,2023-02-15,5808,19.54,762,345,411
1817230,Hi-Fi RUSH,2023-01-25,5634,29.99,2395,36,125
553540,Phantom Brigade,2023-02-28,5476,23.99,847,149,393
1451190,Undisputed,2023-01-31,5128,29.99,2342,525,432
2161440,Sailing Era,2023-01-11,4928,22.49,868,288,1346
2239550,Watch Dogs®: Legion,2023-01-26,4906,12,272,232,462
1816570,江湖十一,2023-01-10,4674,17.99,1316,2517,377
1184140,KartRider: Drift,2023-01-09,4239,0,990,371,81
1798010,Mega Man Battle Network Legacy Collection Vol. 1,2023-04-13,3935,39.99,456,38,900
1364020,Boundary,2023-04-13,3875,22.49,7228,2536,326
2071280,Ravenswatch,2023-04-06,3828,17.99,1039,510,81
2321210,Neon Echo,2023-04-20,3683,14.99,860,95,318
1581770,SpellForce: Conquest of Eo,2023-02-03,3651,23.99,276,77,0
1811990,Wildfrost,2023-04-12,3455,19.99,2572,935,0
1245560,Roots of Pacha,2023-04-25,3346,22.49,547,41,524
1809700,Persona 3 Portable,2023-01-18,3124,19.99,893,334,146
1016950,Blood Bowl 3,2023-02-23,3053,29.99,323,910,481
1593030,Terra Nil,2023-03-28,2825,24.99,1194,226,521
774801,Crab Champions,2023-04-01,2789,8.49,1211,19,0
1194810,Meet Your Maker,2023-04-04,2715,29.99,1018,215,490
2212330,Your Only Move Is HUSTLE,2023-02-02,2650,4.99,1283,37,153
1999770,Atelier Ryza 3: Alchemist of the End & the Secret Key,2023-03-23,2631,59.99,347,17,0
986130,Shadows of Doubt,2023-04-24,2455,17.99,1207,128,732
1321440,Cassette Beasts,2023-04-26,2427,17.99,509,21,1053
1737340,Noobs Want to Live,2023-02-13,2339,4.24,1351,116,552
1214470,Hotel Renovator,2023-03-07,2290,19.99,437,123,370
1211600,ZED ZONE,2023-03-29,2209,10.19,770,88,170
2138710,Sifu,2023-03-28,2196,35.99,1069,72,87
